,idv_for_model_corrected,Keep/ Remove,Select Null,Select,product_category_idv,Equity Pillar,data_source,metric_name,Vendor Metric Group,Group,Common,Blank brand count,Blank brands,Comments,min,max,Neg Flag
70,directions_brand_attributes_creates_playful_moments_with_my_cat_rank_1st,0,N,N,DOG FOOD,,directions,creates_playful_moments_with_my_cat_rank_1st,Brand Attributes,Pet Connection,Cat Treats,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Cat Treats,0,100,P
71,directions_brand_attributes_creates_playful_moments_with_my_cat_rank_1st,0,N,N,CAT FOOD,,directions,creates_playful_moments_with_my_cat_rank_1st,Brand Attributes,Pet Connection,Cat Treats,10,"9LIVES,BEYOND,CAT CHOW LINE,FANCY FEAST,FRISKIES,IAMS,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN",Question only for Cat Treats,0,100,P
72,directions_brand_attributes_creates_playful_moments_with_my_cat_rank_1st,0,N,N,CAT LITTER,,directions,creates_playful_moments_with_my_cat_rank_1st,Brand Attributes,Pet Connection,Cat Treats,,,,0,100,P
73,directions_brand_attributes_creates_playful_moments_with_my_cat_rank_1st,0,N,N,DOG TREATS ONLY,,directions,creates_playful_moments_with_my_cat_rank_1st,Brand Attributes,Pet Connection,Cat Treats,,,,0,100,P
74,directions_brand_attributes_creates_playful_moments_with_my_cat_rank_1st,1,Y,N,CAT TREATS ONLY,,directions,creates_playful_moments_with_my_cat_rank_1st,Brand Attributes,Pet Connection,Cat Treats,,,,0,100,P
75,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,0,N,N,DOG FOOD,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Brand Attributes,Litter,Litter,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Litter,0,100,P
76,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,0,N,N,CAT FOOD,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Brand Attributes,Litter,Litter,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Litter,0,100,P
77,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,1,Y,Y,CAT LITTER,brand_perceptions,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Brand Attributes,Litter,Litter,,,,0,100,P
78,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,0,N,N,DOG TREATS ONLY,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Brand Attributes,Litter,Litter,,,,0,100,P
79,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,0,N,N,CAT TREATS ONLY,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Brand Attributes,Litter,Litter,,,,0,100,P
80,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,0,N,N,DOG FOOD,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,Brand Attributes,Litter,Litter,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Litter,0,100,P
81,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,0,N,N,CAT FOOD,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,Brand Attributes,Litter,Litter,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Litter,0,100,P
82,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,1,Y,N,CAT LITTER,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
83,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,0,N,N,DOG TREATS ONLY,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
84,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,0,N,N,CAT TREATS ONLY,,directions,does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
85,directions_brand_attributes_gets_my_dog_most_excited_mean,0,N,N,DOG FOOD,,directions,gets_my_dog_most_excited_mean,Brand Attributes,Pet Connection,Dog Treats,12,"BENEFUL,BEYOND,CESAR,DOG CHOW LINE,EUKANUBA,FRESHPET,IAMS,NUTRO,PEDIGREE,PRO PLAN,PURINA ONE,ROYAL CANIN",Question only for Dog Treats,0,100,P
86,directions_brand_attributes_gets_my_dog_most_excited_mean,0,N,N,CAT FOOD,,directions,gets_my_dog_most_excited_mean,Brand Attributes,Pet Connection,Dog Treats,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Dog Treats,0,100,P
87,directions_brand_attributes_gets_my_dog_most_excited_mean,0,N,N,CAT LITTER,,directions,gets_my_dog_most_excited_mean,Brand Attributes,Pet Connection,Dog Treats,,,,0,100,P
88,directions_brand_attributes_gets_my_dog_most_excited_mean,0,N,N,DOG TREATS ONLY,,directions,gets_my_dog_most_excited_mean,Brand Attributes,Pet Connection,Dog Treats,,,,0,100,P
89,directions_brand_attributes_gets_my_dog_most_excited_mean,0,N,N,CAT TREATS ONLY,,directions,gets_my_dog_most_excited_mean,Brand Attributes,Pet Connection,Dog Treats,,,,0,100,P
90,directions_brand_attributes_gets_my_dog_most_excited_rank_1st,0,N,N,DOG FOOD,,directions,gets_my_dog_most_excited_rank_1st,Brand Attributes,Pet Connection,Dog Treats,12,"BENEFUL,BEYOND,CESAR,DOG CHOW LINE,EUKANUBA,FRESHPET,IAMS,NUTRO,PEDIGREE,PRO PLAN,PURINA ONE,ROYAL CANIN",Question only for Dog Treats,0,100,P
91,directions_brand_attributes_gets_my_dog_most_excited_rank_1st,0,N,N,CAT FOOD,,directions,gets_my_dog_most_excited_rank_1st,Brand Attributes,Pet Connection,Dog Treats,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Dog Treats,0,100,P
92,directions_brand_attributes_gets_my_dog_most_excited_rank_1st,0,N,N,CAT LITTER,,directions,gets_my_dog_most_excited_rank_1st,Brand Attributes,Pet Connection,Dog Treats,,,,0,100,P
93,directions_brand_attributes_gets_my_dog_most_excited_rank_1st,0,N,N,DOG TREATS ONLY,,directions,gets_my_dog_most_excited_rank_1st,Brand Attributes,Pet Connection,Dog Treats,,,,0,100,P
94,directions_brand_attributes_gets_my_dog_most_excited_rank_1st,0,N,N,CAT TREATS ONLY,,directions,gets_my_dog_most_excited_rank_1st,Brand Attributes,Pet Connection,Dog Treats,,,,0,100,P
